station_name,longitude,latitude,station_small,date,geohash
LITTLE INDIA MRT STATION,103.8503222,1.307426444,little india,2003-06-20,w21z7nj2rcuy
LITTLE INDIA MRT STATION,103.8483044,1.307683537,little india,2003-06-20,w21z7nh1bcuh
LORONG CHUAN MRT STATION,103.8629183,1.351738538,lorong chuan,2009-05-28,w21zeqndmqm4
LORONG CHUAN MRT STATION,103.8649337,1.351439104,lorong chuan,2009-05-28,w21zew00sqeb
MACPHERSON MRT STATION,103.8897933,1.326678759,macpherson,2010-04-17,w21zs1d0rwue
MACPHERSON MRT STATION,103.8906657,1.32585503,macpherson,2010-04-17,w21zs16gevr1
MACPHERSON MRT STATION,103.8902626,1.32548153,macpherson,2010-04-17,w21zs1696xdm
MACPHERSON MRT STATION,103.8886152,1.326192778,macpherson,2010-04-17,w21zs13mshq0
MACPHERSON MRT STATION,103.8884548,1.325145459,macpherson,2010-04-17,w21zs11r83n2
MARINA BAY MRT STATION,103.85447,1.277353033,marina bay,1989-11-04,w21z72890ece
MARINA BAY MRT STATION,103.8543195,1.274693264,marina bay,1989-11-04,w21z7203th13
MARINA BAY MRT STATION,103.8564888,1.273634209,marina bay,1989-11-04,w21z5rcgrwdg
MARINA BAY MRT STATION,103.8553717,1.275416366,marina bay,1989-11-04,w21z721jvdcf
MARINA BAY MRT STATION,103.8550033,1.276158931,marina bay,1989-11-04,w21z722fhvr0
MARINA SOUTH MRT STATION,103.8615039,1.273574804,marina south,1989-11-04,w21z5rveh7w3
MARINA SOUTH MRT STATION,103.8617772,1.27385995,marina south,1989-11-04,w21z5rvufbdn
MARINA SOUTH MRT STATION,103.8628943,1.273135205,marina south,1989-11-04,w21z5ry8sce5
MARINA SOUTH MRT STATION,103.8626685,1.275511415,marina south,1989-11-04,w21z72nqrsdc
MARINA SOUTH PIER MRT STATION,103.8623301,1.27052999,marina south pier,2014-11-23,w21z5rq1reyw
MARINA SOUTH PIER MRT STATION,103.8635797,1.271437837,marina south pier,2014-11-23,w21z5rrnsv4q
MARSILING MRT STATION,103.7744105,1.432751372,marsiling,1996-02-10,w23b1ky4rh0y
MARSILING MRT STATION,103.7739971,1.432751361,marsiling,1996-02-10,w23b1kvfmkhw
MARSILING MRT STATION,103.7738205,1.432469522,marsiling,1996-02-10,w23b1kvb9r8v
MARSILING MRT STATION,103.7742105,1.432801694,marsiling,1996-02-10,w23b1ky4dmeg
MARYMOUNT MRT STATION,103.8400589,1.347866072,marymount,2009-05-28,w21zdvq5bsry
MARYMOUNT MRT STATION,103.839088,1.348980386,marymount,2009-05-28,w21zdvt66h5v
MATTAR MRT STATION,103.8827321,1.327251414,mattar,2017-10-21,w21zect5g1e7
MATTAR MRT STATION,103.8837484,1.326463522,mattar,2017-10-21,w21zecmz4y9p
MAXWELL MRT STATION,103.8429163,1.280191522,maxwell,2022-11-13,w21z7101ekfx
MAXWELL MRT STATION,103.8441644,1.281034255,maxwell,2022-11-13,w21z711n86j4
MAXWELL MRT STATION,103.8448955,1.280919437,maxwell,2022-11-13,w21z711tckwq
MAYFLOWER MRT STATION,103.837461,1.373532092,mayflower,2021-08-28,w21zffh1khyy
MAYFLOWER MRT STATION,103.8370317,1.373719761,mayflower,2021-08-28,w21zff5f6pyt
MAYFLOWER MRT STATION,103.8367168,1.372703972,mayflower,2021-08-28,w21zfcgsdfef
MAYFLOWER MRT STATION,103.836285,1.371377308,mayflower,2021-08-28,w21zfcekbg3b
MAYFLOWER MRT STATION,103.836796,1.371276323,mayflower,2021-08-28,w21zfcesk8qv
MAYFLOWER MRT STATION,103.8367603,1.370777338,mayflower,2021-08-28,w21zfce97gkm
MAYFLOWER MRT STATION,103.8363087,1.370896144,mayflower,2021-08-28,w21zfce613ed
MOUNTBATTEN MRT STATION,103.8832483,1.306045926,mountbatten,2010-04-17,w21z7vv2r0s5
MOUNTBATTEN MRT STATION,103.8825975,1.30675271,mountbatten,2010-04-17,w21z7vuuruqg
NAPIER MRT STATION,103.8194838,1.306935988,napier,2022-11-13,w21z6mzj3q9b
NAPIER MRT STATION,103.8195066,1.306344979,napier,2022-11-13,w21z6mz41b6g
NEWTON MRT STATION,103.8378813,1.312597797,newton,1987-12-12,w21z6yuqqjbn
NEWTON MRT STATION,103.8382191,1.312075462,newton,1987-12-12,w21z6yuemus4
NEWTON MRT STATION,103.8382424,1.313617269,newton,1987-12-12,w21z6zhsqkj2
NICOLL HIGHWAY MRT STATION,103.8641517,1.29966076,nicoll highway,2010-04-17,w21z7kxe44kf
NICOLL HIGHWAY MRT STATION,103.863506,1.30016969,nicoll highway,2010-04-17,w21z7kxn515q
NOVENA MRT STATION,103.8433397,1.319895886,novena,1987-12-12,w21ze022vnqj
NOVENA MRT STATION,103.8443893,1.321094868,novena,1987-12-12,w21ze03pvtuv
ONE-NORTH MRT STATION,103.7879278,1.300359493,one-north,2011-10-08,w21z3u8p4h84
ONE-NORTH MRT STATION,103.7869075,1.299027499,one-north,2011-10-08,w21z3srr6hr2
ONE-NORTH MRT STATION,103.7875655,1.299714698,one-north,2011-10-08,w21z3sxg3s3u
ONE-NORTH MRT STATION,103.7877848,1.300074703,one-north,2011-10-08,w21z3sxvqxmx
ORCHARD BOULEVARD MRT STATION,103.8236379,1.303623953,orchard boulevard,2022-11-13,w21z6t644j5e
ORCHARD BOULEVARD MRT STATION,103.8238956,1.302463324,orchard boulevard,2022-11-13,w21z6t472hg8
ORCHARD MRT STATION,103.8304967,1.304217979,orchard,1987-12-12,w21z6trj9gvg
ORCHARD MRT STATION,103.8311266,1.304045705,orchard,1987-12-12,w21z6trs8eer
ORCHARD MRT STATION,103.8315069,1.303665516,orchard,1987-12-12,w21z6trf3kz5
ORCHARD MRT STATION,103.8317861,1.30344572,orchard,1987-12-12,w21z6trcpgzh
ORCHARD MRT STATION,103.8321248,1.302299211,orchard,1987-12-12,w21z6v04ry5v
ORCHARD MRT STATION,103.8320238,1.303944717,orchard,1987-12-12,w21z6v2hj8bm
ORCHARD MRT STATION,103.8323209,1.303647695,orchard,1987-12-12,w21z6v26k3w1
ORCHARD MRT STATION,103.8306631,1.302857615,orchard,1987-12-12,w21z6tpjty3b
ORCHARD MRT STATION,103.8327708,1.304161138,orchard,1987-12-12,w21z6v2tqcm2
ORCHARD MRT STATION,103.8321716,1.303167534,orchard,1987-12-12,w21z6v0r8bn9
ORCHARD MRT STATION,103.8320398,1.304560474,orchard,1987-12-12,w21z6v2ptgsq
ORCHARD MRT STATION,103.8325243,1.304892178,orchard,1987-12-12,w21z6v8991t9
ORCHARD MRT STATION,103.8326196,1.304354399,orchard,1987-12-12,w21z6v2w7mkc
OUTRAM PARK MRT STATION,103.8381171,1.282321631,outram park,1987-12-12,w21z6ckw56pf
OUTRAM PARK MRT STATION,103.8386402,1.281022018,outram park,1987-12-12,w21z6chyrxy1
OUTRAM PARK MRT STATION,103.8397892,1.280993276,outram park,1987-12-12,w21z6cjy66qy
OUTRAM PARK MRT STATION,103.8386577,1.281602428,outram park,1987-12-12,w21z6cm1bh50
OUTRAM PARK MRT STATION,103.8389348,1.281675346,outram park,1987-12-12,w21z6cm4q99e
OUTRAM PARK MRT STATION,103.8403868,1.280213354,outram park,1987-12-12,w21z6cn3b3h6
OUTRAM PARK MRT STATION,103.8395492,1.278946956,outram park,1987-12-12,w21z6bvdkugz
OUTRAM PARK MRT STATION,103.8385373,1.279051239,outram park,1987-12-12,w21z6bugj23m
PASIR PANJANG MRT STATION,103.7920302,1.276003233,pasir panjang,2011-10-08,w21z3b71385p
PASIR RIS MRT STATION,103.9491369,1.372886236,pasir ris,1989-12-16,w21zv3vmwkw3
PASIR RIS MRT STATION,103.9493334,1.372841969,pasir ris,1989-12-16,w21zv3vt7h2c
PAYA LEBAR MRT STATION,103.8927883,1.318215992,paya lebar,1989-11-04,w21zkpurjmmb
PAYA LEBAR MRT STATION,103.8922172,1.318347467,paya lebar,1989-11-04,w21zkpupbjgb
PAYA LEBAR MRT STATION,103.8917211,1.318149285,paya lebar,1989-11-04,w21zkpgwu8f4
PAYA LEBAR MRT STATION,103.8920777,1.316587719,paya lebar,1989-11-04,w21zkpevsvez
PIONEER MRT STATION,103.6971554,1.337344627,pioneer,2009-02-28,w21xxemywg57
PIONEER MRT STATION,103.6971295,1.337831628,pioneer,2009-02-28,w21xxetcqmbh
POTONG PASIR MRT STATION,103.8689664,1.332801352,potong pasir,2003-06-20,w21zedeh4k4v
POTONG PASIR MRT STATION,103.8687039,1.331066711,potong pasir,2003-06-20,w21zed6fh0z4
POTONG PASIR MRT STATION,103.8693332,1.331148141,potong pasir,2003-06-20,w21zed766zur
PROMENADE MRT STATION,103.8606736,1.291711661,promenade,2010-04-17,w21z77jhc0e2
PROMENADE MRT STATION,103.8601369,1.293862088,promenade,2010-04-17,w21z77s9k975
PROMENADE MRT STATION,103.8602365,1.294102756,promenade,2010-04-17,w21z77sdwyjr
PUNGGOL MRT STATION,103.902306,1.405339576,punggol,2003-06-20,w21zurg6enq9
PUNGGOL MRT STATION,103.9025982,1.405186242,punggol,2003-06-20,w21zurg9f18w
QUEENSTOWN MRT STATION,103.8061828,1.294247262,queenstown,1987-12-12,w21z65t7e3hj
QUEENSTOWN MRT STATION,103.8063115,1.294329909,queenstown,1987-12-12,w21z65tkn2s4
QUEENSTOWN MRT STATION,103.8055847,1.295446256,queenstown,1987-12-12,w21z65uft2wj
QUEENSTOWN MRT STATION,103.8054922,1.295382931,queenstown,1987-12-12,w21z65uf5kch
RAFFLES PLACE MRT STATION,103.8516217,1.285258281,raffles place,1987-12-12,w21z71yrnjt8
RAFFLES PLACE MRT STATION,103.8515226,1.283211582,raffles place,1987-12-12,w21z71w75zgz
RAFFLES PLACE MRT STATION,103.85148,1.284606875,raffles place,1987-12-12,w21z71y76uh4
RAFFLES PLACE MRT STATION,103.8514781,1.285016897,raffles place,1987-12-12,w21z71ymfbd8
RAFFLES PLACE MRT STATION,103.8514384,1.284125148,raffles place,1987-12-12,w21z71y29fm0
RAFFLES PLACE MRT STATION,103.8513532,1.283641391,raffles place,1987-12-12,w21z71wjzbje
RAFFLES PLACE MRT STATION,103.8515625,1.283630521,raffles place,1987-12-12,w21z71wmsy1d
RAFFLES PLACE MRT STATION,103.851296,1.282626234,raffles place,1987-12-12,w21z71qpydfg
RAFFLES PLACE MRT STATION,103.8509609,1.282538575,raffles place,1987-12-12,w21z71mzqf90
RAFFLES PLACE MRT STATION,103.8514333,1.282382307,raffles place,1987-12-12,w21z71qq3v3k
REDHILL MRT STATION,103.8169945,1.289370705,redhill,1987-12-12,w21z66tppk1g
REDHILL MRT STATION,103.8172494,1.289485875,redhill,1987-12-12,w21z66trv1xf
ROCHOR MRT STATION,103.852375,1.303404107,rochor,2015-12-27,w21z7jqbzspk
ROCHOR MRT STATION,103.8531043,1.304214777,rochor,2015-12-27,w21z7jrt8er0
SEMBAWANG MRT STATION,103.819759,1.449156837,sembawang,1996-02-10,w23b4rz1zwrj
SEMBAWANG MRT STATION,103.8201097,1.448837319,sembawang,1996-02-10,w23b4rz2pfue
SEMBAWANG MRT STATION,103.8197902,1.44876826,sembawang,1996-02-10,w23b4rxr8myr
SEMBAWANG MRT STATION,103.8204016,1.448927332,sembawang,1996-02-10,w23b4rz8wewk
SENGKANG MRT STATION,103.8957055,1.392370844,sengkang,2003-06-20,w21zujqx1ktp
SENGKANG MRT STATION,103.8956369,1.391795638,sengkang,2003-06-20,w21zujq7zc9b
SENGKANG MRT STATION,103.8954057,1.39182912,sengkang,2003-06-20,w21zujq7frv2
SENGKANG MRT STATION,103.8952094,1.390881586,sengkang,2003-06-20,w21zujnnmz55
SERANGOON MRT STATION,103.8728667,1.350790199,serangoon,2003-06-20,w21zetvuvjx1
SERANGOON MRT STATION,103.8736413,1.349833738,serangoon,2003-06-20,w21zetwrr70x
SERANGOON MRT STATION,103.8729021,1.350820245,serangoon,2003-06-20,w21zetvvn51s
SERANGOON MRT STATION,103.8735465,1.3497277,serangoon,2003-06-20,w21zetwqtp6p
SERANGOON MRT STATION,103.8739574,1.34948168,serangoon,2003-06-20,w21zetwtq9s7
SERANGOON MRT STATION,103.8743219,1.349901592,serangoon,2003-06-20,w21zetwzxpuh
SERANGOON MRT STATION,103.873694,1.350595104,serangoon,2003-06-20,w21zetyeb90j
SERANGOON MRT STATION,103.8714493,1.350948278,serangoon,2003-06-20,w21zetuvu5n2
SHENTON WAY MRT STATION,103.8518357,1.277462058,shenton way,2022-11-13,w21z70w9g0jq
SHENTON WAY MRT STATION,103.851808,1.277143646,shenton way,2022-11-13,w21z70qxfsbd
SHENTON WAY MRT STATION,103.8510341,1.277655942,shenton way,2022-11-13,w21z70w4bkrd
SHENTON WAY MRT STATION,103.8509151,1.277003054,shenton way,2022-11-13,w21z70mzjdwg
SHENTON WAY MRT STATION,103.8501288,1.277629581,shenton way,2022-11-13,w21z70t6erkt
SHENTON WAY MRT STATION,103.8498932,1.277929205,shenton way,2022-11-13,w21z70thmzkb
SIMEI MRT STATION,103.9538187,1.342661795,simei,1989-12-16,w21zts2ved33
SIXTH AVENUE MRT STATION,103.7965661,1.33078047,sixth avenue,2015-12-27,w21z9fq2773q
SIXTH AVENUE MRT STATION,103.7968482,1.331521301,sixth avenue,2015-12-27,w21z9fqs9ve9
SOMERSET MRT STATION,103.8383993,1.300028488,somerset,1987-12-12,w21z6usv4nf7
SOMERSET MRT STATION,103.838459,1.300766519,somerset,1987-12-12,w21z6uuce2qy
SOMERSET MRT STATION,103.8387656,1.300436221,somerset,1987-12-12,w21z6utpddgs
SOMERSET MRT STATION,103.8397341,1.300241139,somerset,1987-12-12,w21z6uty3nt8
SPRINGLEAF MRT STATION,103.8183906,1.397820804,springleaf,2021-08-28,w21zfqqnzudv
SPRINGLEAF MRT STATION,103.8180816,1.397684179,springleaf,2021-08-28,w21zfqqn0ehq
SPRINGLEAF MRT STATION,103.8180034,1.398787248,springleaf,2021-08-28,w21zfqtuwbf4
STADIUM MRT STATION,103.8762262,1.303370226,stadium,2010-04-17,w21z7v22etb4
STADIUM MRT STATION,103.8744,1.302511088,stadium,2010-04-17,w21z7tp58vwm
STEVENS MRT STATION,103.8263226,1.320937743,stevens,2015-12-27,w21zd8kp08tk
STEVENS MRT STATION,103.8258829,1.321519904,stevens,2015-12-27,w21zd8edqmjt
STEVENS MRT STATION,103.8257284,1.319951635,stevens,2015-12-27,w21zd8796bf6
STEVENS MRT STATION,103.8260136,1.318828896,stevens,2015-12-27,w21zd85f9rwb
STEVENS MRT STATION,103.8249916,1.319470461,stevens,2015-12-27,w21zd85n3xhg
TAI SENG MRT STATION,103.8876274,1.335914085,tai seng,2010-04-17,w21zs50wm0mt
TAI SENG MRT STATION,103.8882141,1.334620877,tai seng,2010-04-17,w21zs4cndz75
TAMPINES EAST MRT STATION,103.9545404,1.356460762,tampines east,2017-10-21,w21ztwcmuqe7
TAMPINES EAST MRT STATION,103.9557047,1.355553172,tampines east,2017-10-21,w21ztwf0xmrt
TAMPINES EAST MRT STATION,103.95517,1.355588226,tampines east,2017-10-21,w21ztwcbg5by
TAMPINES EAST MRT STATION,103.9557174,1.356970194,tampines east,2017-10-21,w21ztx40zv94
TAMPINES MRT STATION,103.9436782,1.354870575,tampines,1989-12-16,w21ztq9kxq0j
TAMPINES MRT STATION,103.9427235,1.354596339,tampines,1989-12-16,w21ztq8g1501
TAMPINES MRT STATION,103.9450896,1.353539082,tampines,1989-12-16,w21ztq6sbjur
TAMPINES MRT STATION,103.9426537,1.354193928,tampines,1989-12-16,w21ztq88z2h1
TAMPINES MRT STATION,103.9447663,1.353764013,tampines,1989-12-16,w21ztq6q0xgk
TAMPINES MRT STATION,103.944904,1.353398313,tampines,1989-12-16,w21ztq6k5gdp
TAMPINES MRT STATION,103.9426588,1.355853445,tampines,1989-12-16,w21ztqbdrmru
TAMPINES WEST MRT STATION,103.9389485,1.344999198,tampines west,2017-10-21,w21zthy51n12
TAMPINES WEST MRT STATION,103.9381967,1.345630588,tampines west,2017-10-21,w21zthvqze8x
TAN KAH KEE MRT STATION,103.8077991,1.325333069,tan kah kee,2015-12-27,w21zd1q895cp
TAN KAH KEE MRT STATION,103.8078009,1.326146159,tan kah kee,2015-12-27,w21zd1qt35d9
TANAH MERAH MRT STATION,103.945723,1.327061276,tanah merah,1989-11-04,w21zt3dfwyhu
TANAH MERAH MRT STATION,103.9457947,1.326857748,tanah merah,1989-11-04,w21zt3e1884n
TANJONG PAGAR MRT STATION,103.845656,1.276447968,tanjong pagar,1987-12-12,w21z7065g5jk
TANJONG PAGAR MRT STATION,103.8465446,1.276671742,tanjong pagar,1987-12-12,w21z706tpugg
TANJONG PAGAR MRT STATION,103.844834,1.276408501,tanjong pagar,1987-12-12,w21z703e85b3
TANJONG PAGAR MRT STATION,103.8465336,1.27608923,tanjong pagar,1987-12-12,w21z7069z87b
TANJONG PAGAR MRT STATION,103.8469088,1.276064828,tanjong pagar,1987-12-12,w21z707187ex
TANJONG PAGAR MRT STATION,103.8470958,1.276259101,tanjong pagar,1987-12-12,w21z7074sxyy
TANJONG PAGAR MRT STATION,103.8469276,1.277379488,tanjong pagar,1987-12-12,w21z70e12bc9
TANJONG PAGAR MRT STATION,103.8469531,1.27778454,tanjong pagar,1987-12-12,w21z70e59kk9
TANJONG PAGAR MRT STATION,103.8464451,1.275450904,tanjong pagar,1987-12-12,w21z704wj93c
TELOK AYER MRT STATION,103.8485065,1.281887389,telok ayer,2013-12-22,w21z71k5t94u
TELOK AYER MRT STATION,103.8488417,1.282250664,telok ayer,2013-12-22,w21z71kmtkug
TELOK AYER MRT STATION,103.8487733,1.282497275,telok ayer,2013-12-22,w21z71kr5fcf
TELOK BLANGAH MRT STATION,103.8098837,1.270721226,telok blangah,2011-10-08,w21z4r243xee
TIONG BAHRU MRT STATION,103.8269906,1.285759456,tiong bahru,1988-03-12,w21z6dhd04zm
TIONG BAHRU MRT STATION,103.8274964,1.286361941,tiong bahru,1988-03-12,w21z6dhvs50x
TOA PAYOH MRT STATION,103.8475776,1.332315537,toa payoh,1987-11-07,w21ze4e3rcw5
TOA PAYOH MRT STATION,103.8473198,1.332994102,toa payoh,1987-11-07,w21ze4em3bn5
TOA PAYOH MRT STATION,103.8465174,1.333278746,toa payoh,1987-11-07,w21ze4dwzjpt
TOA PAYOH MRT STATION,103.8477238,1.332376442,toa payoh,1987-11-07,w21ze4e9ekgr
TUAS CRESCENT MRT STATION,103.6489587,1.320763817,tuas crescent,2017-06-18,w21xw86y5b1r
TUAS CRESCENT MRT STATION,103.6492868,1.321243596,tuas crescent,2017-06-18,w21xw8e0g3tv
TUAS LINK MRT STATION,103.6372457,1.340426899,tuas link,2017-06-18,w21xwk42dcem
TUAS LINK MRT STATION,103.6368407,1.340940072,tuas link,2017-06-18,w21xwk4593m7
TUAS WEST ROAD MRT STATION,103.6392843,1.329872424,tuas west road,2017-06-18,w21xw65g465w
TUAS WEST ROAD MRT STATION,103.6397907,1.33018233,tuas west road,2017-06-18,w21xw6hhy5vn
UBI MRT STATION,103.8985856,1.329830771,ubi,2017-10-21,w21zs60dud2t
UBI MRT STATION,103.8998767,1.329950828,ubi,2017-10-21,w21zs61ed8g3
UPPER CHANGI MRT STATION,103.9610431,1.340840474,upper changi,2017-10-21,w21ztsn4gyu2
UPPER CHANGI MRT STATION,103.9613285,1.341861197,upper changi,2017-10-21,w21ztsq2ft11
UPPER CHANGI MRT STATION,103.9609606,1.342006542,upper changi,2017-10-21,w21ztsq1cbns
UPPER CHANGI MRT STATION,103.9616173,1.341992667,upper changi,2017-10-21,w21ztsq99m86
UPPER CHANGI MRT STATION,103.9614763,1.341037679,upper changi,2017-10-21,w21ztsnkjgx3
UPPER THOMSON MRT STATION,103.831833,1.355736575,upper thomson,2021-08-28,w21zdyb19pd5
UPPER THOMSON MRT STATION,103.8319162,1.354833645,upper thomson,2021-08-28,w21zdy8h7p23
UPPER THOMSON MRT STATION,103.8326352,1.354417822,upper thomson,2021-08-28,w21zdy8d5cb3
UPPER THOMSON MRT STATION,103.8339246,1.354144566,upper thomson,2021-08-28,w21zdy983ycf
UPPER THOMSON MRT STATION,103.8337939,1.35350301,upper thomson,2021-08-28,w21zdy3kwz0r
WOODLANDS MRT STATION,103.7889643,1.435843936,woodlands,1996-02-10,w23b1v2u6hsy
WOODLANDS MRT STATION,103.7879768,1.434495526,woodlands,1996-02-10,w23b1v0he1ke
WOODLANDS MRT STATION,103.7865081,1.436673115,woodlands,1996-02-10,w23b1tx10zm8
WOODLANDS MRT STATION,103.7871082,1.437243367,woodlands,1996-02-10,w23b1txkwcsf
WOODLANDS MRT STATION,103.7880055,1.437540374,woodlands,1996-02-10,w23b1v8n7bfn
WOODLANDS MRT STATION,103.7857356,1.436696875,woodlands,1996-02-10,w23b1tw3qgtw
WOODLANDS MRT STATION,103.7890891,1.434815175,woodlands,1996-02-10,w23b1v0ymhfj
WOODLANDS NORTH MRT STATION,103.7854291,1.447936502,woodlands north,2020-01-31,w23b1xw4zfbv
WOODLANDS NORTH MRT STATION,103.7851023,1.4490473,woodlands north,2020-01-31,w23b1xy121vr
WOODLANDS SOUTH MRT STATION,103.7930275,1.427302017,woodlands south,2020-01-31,w23b1ggf8u6s
WOODLANDS SOUTH MRT STATION,103.7934137,1.427604964,woodlands south,2020-01-31,w23b1guh3ufe
WOODLANDS SOUTH MRT STATION,103.7945605,1.42742676,woodlands south,2020-01-31,w23b1gugke9u
